               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043653,            0.025687,            0.030241,             0.43146,             0.72403,             0.59905,             0.33651,            0.028405,           0.0072594,            0.021607,            0.070077,           0.0033247,           0.0033247
                   1,            0.034635,            0.014202,            0.019303,             0.80455,             0.94587,             0.86979,             0.39483,            0.026655,           0.0044895,           0.0035084,            0.039858,           0.0064384,           0.0064384
                   2,            0.033471,             0.01109,           0.0086652,             0.87021,                   1,             0.99395,             0.65294,            0.022446,            0.004033,           0.0024782,           0.0094179,            0.009332,            0.009332
                   3,            0.030277,            0.010362,           0.0067965,             0.99208,                   1,               0.995,             0.77939,            0.023347,            0.003934,           0.0011016,             0.00901,             0.00901,             0.00901
                   4,            0.027522,           0.0099579,           0.0050225,               0.954,              0.9996,               0.995,             0.69989,             0.01732,           0.0036893,          0.00096249,             0.00901,             0.00901,             0.00901
                   5,            0.024758,           0.0092396,           0.0046951,             0.99519,                   1,               0.995,             0.75499,            0.014779,           0.0035581,           0.0012653,             0.00868,             0.00868,             0.00868
                   6,            0.022757,           0.0088404,           0.0037091,             0.99548,             0.99035,               0.995,             0.78347,            0.015018,           0.0033886,           0.0021158,             0.00835,             0.00835,             0.00835
                   7,            0.020869,           0.0089351,           0.0043599,             0.99406,                   1,               0.995,             0.86181,           0.0096018,           0.0032918,            0.000792,             0.00802,             0.00802,             0.00802
                   8,             0.01928,           0.0085971,           0.0037411,             0.99203,                   1,               0.995,             0.82318,            0.011708,           0.0039087,          0.00077425,             0.00769,             0.00769,             0.00769
                   9,            0.018842,           0.0082177,           0.0030571,             0.99693,                   1,               0.995,             0.85224,            0.010483,           0.0033299,          0.00090769,             0.00736,             0.00736,             0.00736
                  10,            0.019258,           0.0081506,           0.0023629,              0.9973,                   1,               0.995,             0.88264,           0.0097055,           0.0030907,          0.00061377,             0.00703,             0.00703,             0.00703
                  11,            0.016841,           0.0076704,           0.0020901,             0.99759,                   1,               0.995,             0.87406,            0.010292,           0.0030298,          0.00069291,              0.0067,              0.0067,              0.0067
                  12,            0.016634,            0.007686,           0.0021184,             0.99743,                   1,               0.995,             0.88607,           0.0083059,            0.002998,          0.00066059,             0.00637,             0.00637,             0.00637
                  13,            0.015999,             0.00767,           0.0017721,               0.998,                   1,               0.995,             0.88304,           0.0098537,            0.002867,          0.00054258,             0.00604,             0.00604,             0.00604
                  14,            0.016144,           0.0074608,           0.0024086,             0.99774,                   1,               0.995,             0.89474,           0.0072385,           0.0029276,          0.00053072,             0.00571,             0.00571,             0.00571
                  15,            0.014882,           0.0073942,           0.0022625,             0.99757,                   1,               0.995,             0.88868,           0.0083279,           0.0028894,          0.00053598,             0.00538,             0.00538,             0.00538
                  16,            0.014325,           0.0072206,           0.0014412,             0.99818,                   1,               0.995,             0.88694,           0.0067172,           0.0027415,          0.00058227,             0.00505,             0.00505,             0.00505
                  17,            0.014067,           0.0071502,           0.0016932,             0.99805,                   1,               0.995,             0.87482,            0.006826,           0.0029081,          0.00044616,             0.00472,             0.00472,             0.00472
                  18,            0.012977,           0.0070436,           0.0013052,             0.99793,                   1,               0.995,             0.86068,           0.0084557,           0.0028225,          0.00049722,             0.00439,             0.00439,             0.00439
                  19,            0.012497,           0.0068089,            0.001267,             0.99804,                   1,               0.995,             0.90858,             0.00639,           0.0026891,          0.00044423,             0.00406,             0.00406,             0.00406
                  20,            0.012061,           0.0067498,          0.00096435,             0.99797,                   1,               0.995,             0.91177,           0.0058014,           0.0026353,          0.00032631,             0.00373,             0.00373,             0.00373
                  21,            0.011543,           0.0066424,           0.0012904,             0.99793,                   1,               0.995,             0.91069,           0.0062696,           0.0025947,           0.0003366,              0.0034,              0.0034,              0.0034
                  22,            0.011197,           0.0066227,           0.0010817,             0.99827,                   1,               0.995,             0.90853,           0.0063495,           0.0026784,          0.00028293,             0.00307,             0.00307,             0.00307
                  23,             0.01102,           0.0063854,          0.00079541,             0.99828,                   1,               0.995,              0.9021,            0.005943,           0.0025926,          0.00027173,             0.00274,             0.00274,             0.00274
                  24,            0.010646,           0.0062138,          0.00088378,             0.99729,                   1,               0.995,              0.9074,           0.0060152,           0.0025556,          0.00021116,             0.00241,             0.00241,             0.00241
                  25,           0.0099042,           0.0061817,          0.00057739,             0.99713,                   1,               0.995,             0.93089,           0.0053134,           0.0025435,          0.00021108,             0.00208,             0.00208,             0.00208
                  26,           0.0093759,           0.0061659,          0.00053331,             0.99719,                   1,               0.995,              0.9241,           0.0049307,           0.0024756,          0.00018251,             0.00175,             0.00175,             0.00175
                  27,           0.0094337,           0.0060021,          0.00046531,             0.99824,                   1,               0.995,             0.92095,            0.005191,           0.0025794,          0.00015028,             0.00142,             0.00142,             0.00142
                  28,           0.0088681,           0.0060582,          0.00055109,             0.99765,                   1,               0.995,             0.92489,           0.0048804,            0.002427,          0.00012582,             0.00109,             0.00109,             0.00109
                  29,            0.009043,           0.0060234,          0.00052679,             0.99767,                   1,               0.995,              0.9198,           0.0051409,           0.0024693,          0.00012091,             0.00076,             0.00076,             0.00076
